dataset,N,base_acc(%),tuned_acc(%),delta_pp,b_broke(base✓→tuned✗),c_fixed(base✗→tuned✓),p_value_mcnemar_cc,p_value_exact_binom,significant(α=.05),direction
ToMBench,842,61.52,76.13,14.61,56,179,1.7427465634378176e-15,3.51396273355821e-16,yes,up
ToMi,1000,75.3,80.2,4.9,106,155,0.0029671058986476154,0.002895295479658107,yes,up
OpenToM,1000,63.1,63.3,0.2,45,47,0.9169652366288644,0.9170405196524722,no,up
SocialIQa,1000,67.4,62.9,-4.5,136,91,0.003496019231314451,0.003405328947965161,yes,down
HiToM,1000,63.0,58.0,-5.0,147,97,0.0017074228040456119,0.0016522979589102837,yes,down
