loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.292218780517578,0.9478951096534729,0.000152,0.09950248756218906,20,,,,,,,,,
1.1673603057861328,0.2835301458835602,0.00019984065606603704,0.19900497512437812,40,,,,,,,,,
1.0465104103088378,0.357746422290802,0.00019906141820067808,0.29850746268656714,60,,,,,,,,,
0.950191593170166,0.41529905796051025,0.0001976380794357857,0.39800995024875624,80,,,,,,,,,
0.9807346343994141,0.33055761456489563,0.00019557989437113713,0.4975124378109453,100,,,,,,,,,
0.9127250671386719,0.36088117957115173,0.00019290024539995491,0.5970149253731343,120,,,,,,,,,
0.8388835906982421,0.35571205615997314,0.00018961655569610557,0.6965174129353234,140,,,,,,,,,
0.8446552276611328,0.42730751633644104,0.00018575017592799715,0.7960199004975125,160,,,,,,,,,
0.8875407218933106,0.4063233435153961,0.00018132624543576646,0.8955223880597015,180,,,,,,,,,
0.8332430839538574,0.4633093476295471,0.0001763735287743863,0.9950248756218906,200,,,,,,,,,
,,,1.0,201,0.8215616941452026,23.1321,17.768,4.453,,,,,
0.7346365928649903,0.4774380326271057,0.0001709242286854958,1.0945273631840795,220,,,,,,,,,
0.6523710727691651,0.4889117181301117,0.00016501377671401777,1.1940298507462686,240,,,,,,,,,
0.7304830074310302,0.5232910513877869,0.00015868060283098044,1.2935323383084576,260,,,,,,,,,
0.7349473476409912,0.5828434228897095,0.0001519658855604658,1.3930348258706466,280,,,,,,,,,
0.6899959564208984,0.48058512806892395,0.00014491328423536654,1.4925373134328357,300,,,,,,,,,
0.6439706802368164,0.5850985050201416,0.0001375686551228355,1.5920398009950247,320,,,,,,,,,
0.7023617267608643,0.7280374765396118,0.00012997975326518933,1.6915422885572138,340,,,,,,,,,
0.7073574066162109,0.6409270167350769,0.00012219592197490795,1.7910447761194028,360,,,,,,,,,
0.6489291667938233,0.7331386804580688,0.00011426777200264433,1.890547263681592,380,,,,,,,,,
0.6399879932403565,0.6172257661819458,0.00010624685246430584,1.9900497512437811,400,,,,,,,,,
,,,2.0,402,0.7099418640136719,22.5855,18.197,4.56,,,,,
0.46231884956359864,0.8230468034744263,9.818531566685078e-05,2.08955223880597,420,,,,,,,,,
0.4732401371002197,0.9396412968635559,9.013557801211528e-05,2.189054726368159,440,,,,,,,,,
0.49252886772155763,0.8597959280014038,8.21499791834856e-05,2.288557213930348,460,,,,,,,,,
0.4733619689941406,0.9000141620635986,7.428044183139683e-05,2.388059701492537,480,,,,,,,,,
0.4678196430206299,0.8917898535728455,6.657813397039452e-05,2.487562189054726,500,,,,,,,,,
0.4814949035644531,1.099200963973999,5.909313628286601e-05,2.587064676616915,520,,,,,,,,,
0.4810168266296387,0.6851359605789185,5.187411649264482e-05,2.6865671641791042,540,,,,,,,,,
0.4855810642242432,0.9457409977912903,4.4968012925721935e-05,2.7860696517412933,560,,,,,,,,,
0.4159111022949219,0.9056280255317688,3.8419729315564076e-05,2.8855721393034823,580,,,,,,,,,
0.41481900215148926,0.9371502995491028,3.227184283742591e-05,2.9850746268656714,600,,,,,,,,,
,,,3.0,603,0.6645758748054504,22.5959,18.189,4.558,,,,,
0.3862245321273804,1.0258674621582031,2.6564327270026978e-05,3.084577114427861,620,,,,,,,,,
0.34428086280822756,0.9213055968284607,2.1334293084606615e-05,3.18407960199005,640,,,,,,,,,
0.3239343881607056,0.8006738424301147,1.6615746151306854e-05,3.283582089552239,660,,,,,,,,,
0.33141725063323973,0.9235851168632507,1.2439366631783288e-05,3.383084577114428,680,,,,,,,,,
0.351378345489502,0.842006504535675,8.832309495691915e-06,3.482587064676617,700,,,,,,,,,
0.326303768157959,0.9112095832824707,5.818027958100969e-06,3.582089552238806,720,,,,,,,,,
0.3129026174545288,0.959175169467926,3.4161209858440624e-06,3.681592039800995,740,,,,,,,,,
0.3047534227371216,0.8503293395042419,1.6422058643339233e-06,3.781094527363184,760,,,,,,,,,
0.31380600929260255,0.9659056067466736,5.078166534115303e-07,3.8805970149253732,780,,,,,,,,,
0.32217955589294434,0.8783414363861084,2.0329192474799476e-08,3.9800995024875623,800,,,,,,,,,
,,,4.0,804,0.6981915235519409,22.6633,18.135,4.545,,,,,
,,,4.0,804,,,,,902.3214,7.124,0.891,3.0456395406557184e+16,0.6384442711054389
