Dataset,Baseline_Acc,Finetuned_Acc,Baseline_Macro_F1,Finetuned_Macro_F1,Baseline_Weighted_F1,Finetuned_Weighted_F1,N,Δ_Acc,Δ_Macro_F1,Δ_Weighted_F1
ToMBench,0.6152019002375297,0.7612826603325415,0.47297577499931753,0.7528011012152767,0.6100267397971904,0.7603314514823676,842,0.1460807600950118,0.2798253262159591,0.15030471168517723
OpenToM,0.631,0.633,0.48328796142189484,0.5100050361673027,0.5817773563135767,0.59596689146694,1000,0.0020000000000000018,0.02671707474540791,0.014189535153363297
ToMi,0.753,0.802,0.5967302984562582,0.7988242312519188,0.751997923249068,0.8010278982720254,1000,0.049000000000000044,0.20209393279566057,0.04902997502295736
SocialIQa,0.674,0.629,0.4048323860844464,0.6223854630925001,0.673999401366532,0.62098850739998,1000,-0.04500000000000004,0.2175530770080537,-0.05301089396655201
HiToM,0.63,0.58,0.6147123619813197,0.5299181907997734,0.6184591933028311,0.5334533660034517,1000,-0.050000000000000044,-0.08479417118154631,-0.08500582729937933
