dataset,baseline_acc,n_seeds,delta_mean,delta_std,deltas_per_seed
ToMBench,61.520190023752974,5,14.323040380047498,0.7539463300761945,"[np.float64(13.657957244655577), np.float64(13.89548693586697), np.float64(14.48931116389548), np.float64(14.01425178147268), np.float64(15.558194774346788)]"
OpenToM,63.4,5,-0.5599999999999994,1.9590814173994908,"[np.float64(-3.8999999999999986), np.float64(0.5), np.float64(-0.5), np.float64(1.1000000000000014), np.float64(0.0)]"
ToMi,76.3,5,9.060000000000002,1.9449935732541643,"[np.float64(6.700000000000003), np.float64(11.400000000000006), np.float64(7.5), np.float64(10.299999999999997), np.float64(9.400000000000006)]"
SocialIQa,67.7,5,-5.280000000000003,0.5449770637375473,"[np.float64(-6.0), np.float64(-5.400000000000006), np.float64(-5.5), np.float64(-4.600000000000001), np.float64(-4.900000000000006)]"
HiToM,62.4,5,0.9400000000000034,0.8354639429682195,"[np.float64(-0.10000000000000142), np.float64(1.4000000000000057), np.float64(1.4000000000000057), np.float64(1.8000000000000043), np.float64(0.20000000000000284)]"
